TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
31,9000000001397;609;733,1000000000931;630,8000000000466;603,1000000000931;21;15,445
30,799999999813735;603,7999999998137;707,2999999998137;611,8999999999069;592,7999999998137;21;15,445
37;618,6999999999534;733,8999999999069;636,6999999999534;609,5;21;15,445
34,300000000046566;643,6000000000931;723,9000000001397;630,8000000000466;606;21;15,445
31;600,2000000001863;714,3000000000466;614,3000000000466;596,7000000001863;21;15,445
29,800000000046566;603,8000000000466;726,8000000000466;626,5;599,5;21;15,445
33;602,4000000001397;711,1000000000931;611,7000000001863;593,8000000000466;21;15,445
31,600000000093132;606,6999999999534;717,5;619,1000000000931;596,6999999999534;21;15,445
31,800000000046566;601,3000000000466;706,5;608,3000000000466;589,4000000001397;21;15,445
33,10000000009313;609,4000000001397;724,1000000000931;623,6999999999534;601,1000000000931;21;15,445
